"x" "y" ""
"1" -4.983333 -79.983333 -5.258
"2" -4.94999966777963 -79.983333 -5.242
"3" -4.91666633555927 -79.983333 -5.231
"4" -4.8833330033389 -79.983333 -5.213
"5" -4.84999967111853 -79.983333 -5.181
"6" -4.81666633889816 -79.983333 -5.133
"7" -4.7833330066778 -79.983333 -5.076
"8" -4.74999967445743 -79.983333 -5.01
"9" -4.71666634223706 -79.983333 -4.932
"10" -4.68333301001669 -79.983333 -4.843
"11" -4.64999967779633 -79.983333 -4.738
"12" -4.61666634557596 -79.983333 -4.623
"13" -4.58333301335559 -79.983333 -4.497
"14" -4.54999968113523 -79.983333 -4.357
"15" -4.51666634891486 -79.983333 -4.201
"16" -4.48333301669449 -79.983333 -4.036
"17" -4.44999968447412 -79.983333 -3.869
"18" -4.41666635225376 -79.983333 -3.719
"19" -4.38333302003339 -79.983333 -3.6
"20" -4.34999968781302 -79.983333 -3.515
"21" -4.31666635559265 -79.983333 -3.45
"22" -4.28333302337229 -79.983333 -3.39
"23" -4.24999969115192 -79.983333 -3.326
"24" -4.21666635893155 -79.983333 -3.256
"25" -4.18333302671119 -79.983333 -3.178
"26" -4.14999969449082 -79.983333 -3.091
"27" -4.11666636227045 -79.983333 -2.999
"28" -4.08333303005008 -79.983333 -2.9
"29" -4.04999969782972 -79.983333 -2.791
"30" -4.01666636560935 -79.983333 -2.671
"31" -3.98333303338898 -79.983333 -2.539
"32" -3.94999970116861 -79.983333 -2.397
"33" -3.91666636894825 -79.983333 -2.243
"34" -3.88333303672788 -79.983333 -2.083
"35" -3.84999970450751 -79.983333 -1.923
"36" -3.81666637228715 -79.983333 -1.77
"37" -3.78333304006678 -79.983333 -1.625
"38" -3.74999970784641 -79.983333 -1.483
"39" -3.71666637562604 -79.983333 -1.349
"40" -3.68333304340568 -79.983333 -1.219
"41" -3.64999971118531 -79.983333 -1.081
"42" -3.61666637896494 -79.983333 -0.945
"43" -3.58333304674457 -79.983333 -0.818
"44" -3.54999971452421 -79.983333 -0.706
"45" -3.51666638230384 -79.983333 -0.615
"46" -3.48333305008347 -79.983333 -0.557
"47" -3.4499997178631 -79.983333 -0.549
"48" -3.41666638564274 -79.983333 -0.591
"49" -3.38333305342237 -79.983333 -0.676
"50" -3.349999721202 -79.983333 -0.786
"51" -3.31666638898164 -79.983333 -0.906
"52" -3.28333305676127 -79.983333 -1.025
"53" -3.2499997245409 -79.983333 -1.143
"54" -3.21666639232053 -79.983333 -1.254
"55" -3.18333306010017 -79.983333 -1.354
"56" -3.1499997278798 -79.983333 -1.438
"57" -3.11666639565943 -79.983333 -1.501
"58" -3.08333306343907 -79.983333 -1.541
"59" -3.0499997312187 -79.983333 -1.553
"60" -3.01666639899833 -79.983333 -1.537
"61" -2.98333306677796 -79.983333 -1.498
"62" -2.9499997345576 -79.983333 -1.439
"63" -2.91666640233723 -79.983333 -1.37
"64" -2.88333307011686 -79.983333 -1.305
"65" -2.84999973789649 -79.983333 -1.248
"66" -2.81666640567613 -79.983333 -1.197
"67" -2.78333307345576 -79.983333 -1.142
"68" -2.74999974123539 -79.983333 -1.069
"69" -2.71666640901502 -79.983333 -0.982
"70" -2.68333307679466 -79.983333 -0.889
"71" -2.64999974457429 -79.983333 -0.802
"72" -2.61666641235392 -79.983333 -0.72
"73" -2.58333308013356 -79.983333 -0.64
"74" -2.54999974791319 -79.983333 -0.559
"75" -2.51666641569282 -79.983333 -0.471
"76" -2.48333308347245 -79.983333 -0.376
"77" -2.44999975125209 -79.983333 -0.279
"78" -2.41666641903172 -79.983333 -0.181
"79" -2.38333308681135 -79.983333 -0.076
"80" -2.34999975459098 -79.983333 0.043
"81" -2.31666642237062 -79.983333 0.177
"82" -2.28333309015025 -79.983333 0.319
"83" -2.24999975792988 -79.983333 0.461
"84" -2.21666642570952 -79.983333 0.599
"85" -2.18333309348915 -79.983333 0.726
"86" -2.14999976126878 -79.983333 0.838
"87" -2.11666642904841 -79.983333 0.934
"88" -2.08333309682805 -79.983333 1.017
"89" -2.04999976460768 -79.983333 1.088
"90" -2.01666643238731 -79.983333 1.143
"91" -1.98333310016694 -79.983333 1.178
"92" -1.94999976794658 -79.983333 1.195
"93" -1.91666643572621 -79.983333 1.198
"94" -1.88333310350584 -79.983333 1.188
"95" -1.84999977128548 -79.983333 1.165
"96" -1.81666643906511 -79.983333 1.133
"97" -1.78333310684474 -79.983333 1.1
"98" -1.74999977462437 -79.983333 1.067
"99" -1.71666644240401 -79.983333 1.031
"100" -1.68333311018364 -79.983333 0.99
"101" -1.64999977796327 -79.983333 0.945
"102" -1.6166664457429 -79.983333 0.895
"103" -1.58333311352254 -79.983333 0.839
"104" -1.54999978130217 -79.983333 0.779
"105" -1.5166664490818 -79.983333 0.722
"106" -1.48333311686144 -79.983333 0.67
"107" -1.44999978464107 -79.983333 0.619
"108" -1.4166664524207 -79.983333 0.567
"109" -1.38333312020033 -79.983333 0.514
"110" -1.34999978797997 -79.983333 0.459
"111" -1.3166664557596 -79.983333 0.405
"112" -1.28333312353923 -79.983333 0.35
"113" -1.24999979131886 -79.983333 0.29
"114" -1.2166664590985 -79.983333 0.221
"115" -1.18333312687813 -79.983333 0.143
"116" -1.14999979465776 -79.983333 0.06
"117" -1.1166664624374 -79.983333 -0.021
"118" -1.08333313021703 -79.983333 -0.1
"119" -1.04999979799666 -79.983333 -0.185
"120" -1.01666646577629 -79.983333 -0.275
"121" -0.983333133555926 -79.983333 -0.368
"122" -0.949999801335559 -79.983333 -0.458
"123" -0.916666469115192 -79.983333 -0.545
"124" -0.883333136894825 -79.983333 -0.636
"125" -0.849999804674457 -79.983333 -0.717
"126" -0.81666647245409 -79.983333 -0.789
"127" -0.783333140233723 -79.983333 -0.85
"128" -0.749999808013356 -79.983333 -0.899
"129" -0.716666475792988 -79.983333 -0.939
"130" -0.683333143572621 -79.983333 -0.979
"131" -0.649999811352253 -79.983333 -1.016
"132" -0.616666479131887 -79.983333 -1.051
"133" -0.583333146911519 -79.983333 -1.077
"134" -0.549999814691152 -79.983333 -1.09
"135" -0.516666482470784 -79.983333 -1.085
"136" -0.483333150250417 -79.983333 -1.063
"137" -0.44999981803005 -79.983333 -1.032
"138" -0.416666485809682 -79.983333 -0.988
"139" -0.383333153589315 -79.983333 -0.924
"140" -0.349999821368948 -79.983333 -0.835
"141" -0.316666489148581 -79.983333 -0.723
"142" -0.283333156928213 -79.983333 -0.591
"143" -0.249999824707846 -79.983333 -0.439
"144" -0.216666492487479 -79.983333 -0.266
"145" -0.183333160267112 -79.983333 -0.074
"146" -0.149999828046744 -79.983333 0.13
"147" -0.116666495826377 -79.983333 0.346
"148" -0.0833331636060102 -79.983333 0.584
"149" -0.0499998313856427 -79.983333 0.85
"150" -0.0166664991652752 -79.983333 1.142
"151" 0.0166668330550923 -79.983333 1.459
"152" 0.0500001652754589 -79.983333 1.791
"153" 0.0833334974958264 -79.983333 2.133
"154" 0.116666829716194 -79.983333 2.485
"155" 0.150000161936561 -79.983333 2.845
"156" 0.183333494156928 -79.983333 3.216
"157" 0.216666826377296 -79.983333 3.592
"158" 0.250000158597663 -79.983333 3.984
"159" 0.28333349081803 -79.983333 4.406
"160" 0.316666823038397 -79.983333 4.865
"161" 0.350000155258765 -79.983333 5.356
"162" 0.383333487479132 -79.983333 5.864
"163" 0.4166668196995 -79.983333 6.278
"164" 0.450000151919867 -79.983333 6.833
"165" 0.483333484140234 -79.983333 7.358
"166" 0.516666816360601 -79.983333 7.837
"167" 0.550000148580969 -79.983333 8.255
"168" 0.583333480801336 -79.983333 8.607
